Country;Region;SDGi;Life Expectancy;HDI;Per Capita GDP;Income Group;Population (millions);Cropland Footprint;Grazing Footprint;Forest Product Footprint;Carbon Footprint;Fish Footprint;Built up land;Total Ecological Footprint (Consumption);Cropland;Grazing land;Forest land;Fishing ground;Built up land;Total biocapacity ;Ecological (Deficit) or Reserve;Number of Earths required;Number of Countries required
Guyana;South America;63.9;66;0.71;"$32;768 ";LM;0.8;;;;;;;3.3;;;;;;7.050.741.296;6.719.211.874;2.195.245.984;0.047020506
Haiti;Central America/Caribbean;51.9;63;0.54;"$2;731 ";LI;11.7;0.3;0;0.1;0.1;0;0;0.6;0.1;0;0.025123594;0.01068696;0.026237388;0.235699613;-0.355312615;0.39134301;250.748.069
Honduras;Central America/Caribbean;63.1;70;0.62;"$5;773 ";LM;10.2;;;;;;;1.3;;;;;;1.651.119.574;0.304040667;0.891978015;0.815857875
Hungary;EU-27;79;74;0.85;"$35;069 ";HI;9.6;1.1;0.1;0.4;2.1;0;0.1;3.8;1.7;0.1;0.661675174;0.006552052;0.121567415;2.570.671.975;-1.217.913.853;2.508.639.433;1.473.772.564
India;Asia-Pacific;60.3;67;0.63;"$7;159 ";LM;"1;406.60";0.2;0;0.1;0.6;0;0.1;1;0.2;0;0.019611683;0.026040105;0.050541898;0.342227652;-0.695400353;0.687072868;3.031.981.781
Indonesia;Asia-Pacific;69.2;68;0.71;"$12;449 ";LM;279.1;0.5;0;0.1;0.7;0.2;0.1;1.7;0.5;0.1;0.260264262;0.338990503;0.083199367;1.227.370.667;-0.451258577;1.111.516.462;1.367.662.833
"Iran; Islamic Republic of";Middle East/Central Asia;68.6;74;0.77;"$15;702 ";UM;86;0.5;0.1;0;2.4;0.1;0.1;3.2;0.4;0.1;0.053259352;0.169577822;0.07197257;0.751314683;-2.497.334.817;2.151.116.699;4.323.953.163
Iraq;Middle East/Central Asia;62.3;70;0.69;"$10;399 ";LM;42.2;0.5;0;0;1.1;0;0;1.7;0.2;0;0.034153036;0.001787591;0.033445512;0.314221898;-1.412.524.298;1.143.377.449;5.495.308.279
Ireland;EU-27;80.7;82;0.95;"$106;717 ";HI;5;0.9;0.3;0.6;2.5;0.1;0.1;4.5;0.4;0.7;0.468889103;1.379.291.445;0.103161886;3.109.222.875;-1.396.207.197;298.330.302;144.905.343
Israel;Middle East/Central Asia;73.5;83;0.92;"$43;000 ";HI;8.9;0.8;0.3;0.3;2.6;0.1;0.1;4.2;0.1;0;0.023786869;0.013742928;0.059185502;0.242110623;-3.918.772.643;2.755.158.868;1.718.587.651
Italy;EU-27;78.3;83;0.9;"$43;010 ";HI;60.3;0.8;0.3;0.5;2;0.2;0.1;4;0.4;0.1;0.340885413;0.065779728;0.091234352;0.971138877;-2.980.056.989;2.616.312.844;4.068.620.831
Jamaica;Central America/Caribbean;69;71;0.71;"$10;109 ";UM;3;0.5;0.1;0.2;0.8;0.2;0.1;1.7;0.2;0;0.174209502;0.112810554;0.069636626;0.554318453;-1.186.022.004;1.152.378.987;3.139.604.046
Japan;Asia-Pacific;79.6;84;0.93;"$41;809 ";HI;125.6;0.4;0.1;0.2;2.9;0.3;0.1;4;0.1;0;0.348004225;0.103747578;0.077815615;0.630109766;-3.414.165.762;2.677.946.213;6.418.366.678
Jordan;Middle East/Central Asia;69.4;74;0.72;"$10;159 ";UM;10.3;0.4;0.1;0.1;0.6;0;0.1;1.3;0.1;0;0.015913501;0.001769296;0.104159286;0.214335249;-1.089.517.919;0.86335578;6.083.241.904
Kazakhstan;Middle East/Central Asia;71.1;70;0.81;"$26;125 ";UM;19.2;0.6;0.3;0.1;3.3;0;0;4.3;1.9;1.6;0.20376223;0.04793581;0.025323045;382.386.996;-0.470322658;2.843.430.617;112.299.651
Kenya;Africa;61;61;0.58;"$5;192 ";LI;56.2;0.3;0.2;0.2;0.2;0;0;0.9;0.2;0.2;0.011073712;0.015018315;0.045167026;0.462795906;-0.418506561;0.583560785;1.904.300.483
